🍁,3166ye
Tweet Range : 1990-01-01:2030-01-01
Save Path : /c/yezArchive\3166ye
Tweet Date,Display Name,User Name,Tweet URL,Media Type,Media URl,Saved Filename,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024-08-14 20:51,🍁,@3166ye,https://twitter.com/yez3166/status/1823704066456948765/photo/1,Image,https://pbs.twimg.com/media/GU8ZLKma4AI5lfO.jpg,2024-08-14 20-51-img_26.png,https://t.co/2aIWHce7vA,145,9,1
2024-08-16 23:07,🍁,@3166ye,https://twitter.com/yez3166/status/1824463095315771435/photo/1,Image,https://pbs.twimg.com/media/GVHLgD_b0AAmh_r.jpg,2024-08-16 23-07-img_22.png,https://t.co/txXHTFtRPD,83,4,3
2024-08-14 21:15,🍁,@3166ye,https://twitter.com/yez3166/status/1823709951136817348/photo/1,Image,https://pbs.twimg.com/media/GU8ehzRa4AAtCdI.jpg,2024-08-14 21-15-img_25.png,https://t.co/tmhqcFo5d2,484,46,1
2024-08-13 11:20,🍁,@3166ye,https://twitter.com/yez3166/status/1823197811133071689/photo/1,Image,https://pbs.twimg.com/media/GU1MvRbWUAAYMzI.jpg,2024-08-13 11-20-img_28.png,https://t.co/zCCvw3mX4d,146,11,3
2024-08-14 12:45,🍁,@3166ye,https://twitter.com/yez3166/status/1823581771805683815/photo/1,Image,https://pbs.twimg.com/media/GU6p8yHakAAmXRj.jpg,2024-08-14 12-45-img_27.png,https://t.co/kHwhxVk88M,426,16,7
2024-08-13 10:04,🍁,@3166ye,https://twitter.com/yez3166/status/1823178767876919395/photo/1,Image,https://pbs.twimg.com/media/GU07a2dbEAAlxxu.jpg,2024-08-13 10-04-img_29.png,https://t.co/lG6GMhkpw2,140,8,5
2024-08-12 05:50,🍁,@3166ye,https://twitter.com/yez3166/status/1822752519585702156/photo/1,Image,https://pbs.twimg.com/media/GUu3wKBbcAASb0m.jpg,2024-08-12 05-50-img_31.png,fanart https://t.co/mwbMVlYHcl,232,11,1
2024-08-11 20:52,🍁,@3166ye,https://twitter.com/yez3166/status/1822616979460522210/video/1,Video,https://video.twimg.com/amplify_video/1822616905569767424/vid/avc1/952x720/eWQIIJq8BdnwI4eT.mp4?tag=16,2024-08-11 20-52-vid_32.mp4,Youtube preview https://t.co/pruvgDquLj,128,12,0
2024-08-12 18:12,🍁,@3166ye,https://twitter.com/yez3166/status/1822939196920844383/photo/1,Image,https://pbs.twimg.com/media/GUxhh_QacAA73is.jpg,2024-08-12 18-12-img_30.png,https://t.co/3DAolC36xN,623,53,4
2024-08-11 19:21,🍁,@3166ye,https://twitter.com/yez3166/status/1822594127332020661/photo/1,Image,https://pbs.twimg.com/media/GUsnshyb0AASGUW.jpg,2024-08-11 19-21-img_34.png,https://t.co/roHuS1B2Xw,268,30,3
